name_model,classifier,run,task,accuracy,sensitivity,specificity,precision,recall,f1,kappa
LogisticRegression_4_7,LogisticRegression,4,7,0.6590909090909091,0.6956521739130435,0.6190476190476191,0.6666666666666666,0.6956521739130435,0.6808510638297872,0.31535269709543573
LogisticRegression_5_7,LogisticRegression,5,7,0.6136363636363636,0.6086956521739131,0.6190476190476191,0.6363636363636364,0.6086956521739131,0.6222222222222223,0.2272727272727273
LogisticRegression_6_7,LogisticRegression,6,7,0.6818181818181818,0.6956521739130435,0.6666666666666666,0.6956521739130435,0.6956521739130435,0.6956521739130435,0.3623188405797101
LogisticRegression_7_7,LogisticRegression,7,7,0.6818181818181818,0.6086956521739131,0.7619047619047619,0.7368421052631579,0.6086956521739131,0.6666666666666666,0.3675564681724845
LogisticRegression_8_7,LogisticRegression,8,7,0.5454545454545454,0.5217391304347826,0.5714285714285714,0.5714285714285714,0.5217391304347826,0.5454545454545454,0.09278350515463915
LogisticRegression_9_7,LogisticRegression,9,7,0.5681818181818182,0.6086956521739131,0.5238095238095238,0.5833333333333334,0.6086956521739131,0.5957446808510638,0.1327800829875521
LogisticRegression_10_7,LogisticRegression,10,7,0.6363636363636364,0.6086956521739131,0.6666666666666666,0.6666666666666666,0.6086956521739131,0.6363636363636365,0.27422680412371137
LogisticRegression_11_7,LogisticRegression,11,7,0.6818181818181818,0.7391304347826086,0.6190476190476191,0.68,0.7391304347826086,0.7083333333333334,0.3596673596673595
LogisticRegression_12_7,LogisticRegression,12,7,0.75,0.9130434782608695,0.5714285714285714,0.7,0.9130434782608695,0.7924528301886793,0.4915966386554622
LogisticRegression_13_7,LogisticRegression,13,7,0.7045454545454546,0.6956521739130435,0.7142857142857143,0.7272727272727273,0.6956521739130435,0.711111111111111,0.40909090909090917
LogisticRegression_14_7,LogisticRegression,14,7,0.6590909090909091,0.6956521739130435,0.6190476190476191,0.6666666666666666,0.6956521739130435,0.6808510638297872,0.31535269709543573
LogisticRegression_15_7,LogisticRegression,15,7,0.6136363636363636,0.6086956521739131,0.6190476190476191,0.6363636363636364,0.6086956521739131,0.6222222222222223,0.2272727272727273
LogisticRegression_16_7,LogisticRegression,16,7,0.7272727272727273,0.8695652173913043,0.5714285714285714,0.6896551724137931,0.8695652173913043,0.7692307692307693,0.44654088050314467
LogisticRegression_17_7,LogisticRegression,17,7,0.75,0.8260869565217391,0.6666666666666666,0.7307692307692307,0.8260869565217391,0.7755102040816326,0.49583333333333335
LogisticRegression_18_7,LogisticRegression,18,7,0.6590909090909091,0.6521739130434783,0.6666666666666666,0.6818181818181818,0.6521739130434783,0.6666666666666666,0.3181818181818181
LogisticRegression_19_7,LogisticRegression,19,7,0.6136363636363636,0.7391304347826086,0.47619047619047616,0.6071428571428571,0.7391304347826086,0.6666666666666666,0.21757322175732213
